target,feature,mean_abs_shap
COGS,year,0.0
COGS,month,0.0
COGS,day,0.0
COGS,dow,0.0
COGS,doy,0.0
COGS,woy,0.0
COGS,quarter,0.0
COGS,is_weekend,0.0
COGS,is_month_start,0.0
COGS,is_month_end,0.0
COGS,is_quarter_start,0.0
COGS,is_quarter_end,0.0
COGS,days_to_month_end,0.0
COGS,week_of_month,0.0
COGS,is_first_3_days,0.0
COGS,is_last_3_days,0.0
COGS,is_first_7_days,0.0
COGS,is_last_7_days,0.0
COGS,is_payday_window,0.0
COGS,t,0.0
COGS,sin_1,0.0
COGS,cos_1,0.0
COGS,sin_2,0.0
COGS,cos_2,0.0
COGS,sin_3,0.0
COGS,cos_3,0.0
COGS,spring,0.0
COGS,midyear,0.0
COGS,fall,0.0
COGS,yearend,0.0
COGS,urban,0.0
COGS,rural,0.0
COGS,promo_any,0.0
COGS,weekend_promo,0.0
COGS,baseline,0.0
COGS,lag1,0.0
COGS,lag2,0.0
COGS,lag3,0.0
COGS,md_mean,0.0
COGS,md_recent,0.0
COGS,dow_mean,0.0
COGS,month_mean,0.0
COGS,wom_mean,0.0
COGS,lag_mean,0.0
COGS,lag_std,0.0
COGS,lag_missing,0.0
COGS,dow_month,0.0
COGS,month_pos,0.0
Revenue,year,0.0
Revenue,month,0.0
Revenue,day,0.0
Revenue,dow,0.0
Revenue,doy,0.0
Revenue,woy,0.0
Revenue,quarter,0.0
Revenue,is_weekend,0.0
Revenue,is_month_start,0.0
Revenue,is_month_end,0.0
Revenue,is_quarter_start,0.0
Revenue,is_quarter_end,0.0
Revenue,days_to_month_end,0.0
Revenue,week_of_month,0.0
Revenue,is_first_3_days,0.0
Revenue,is_last_3_days,0.0
Revenue,is_first_7_days,0.0
Revenue,is_last_7_days,0.0
Revenue,is_payday_window,0.0
Revenue,t,0.0
Revenue,sin_1,0.0
Revenue,cos_1,0.0
Revenue,sin_2,0.0
Revenue,cos_2,0.0
Revenue,sin_3,0.0
Revenue,cos_3,0.0
Revenue,spring,0.0
Revenue,midyear,0.0
Revenue,fall,0.0
Revenue,yearend,0.0
Revenue,urban,0.0
Revenue,rural,0.0
Revenue,promo_any,0.0
Revenue,weekend_promo,0.0
Revenue,baseline,0.0
Revenue,lag1,0.0
Revenue,lag2,0.0
Revenue,lag3,0.0
Revenue,md_mean,0.0
Revenue,md_recent,0.0
Revenue,dow_mean,0.0
Revenue,month_mean,0.0
Revenue,wom_mean,0.0
Revenue,lag_mean,0.0
Revenue,lag_std,0.0
Revenue,lag_missing,0.0
Revenue,dow_month,0.0
Revenue,month_pos,0.0
