fold,model,mae_all,mae_1_30,mae_31_90,mae_91_180,mae_181_365,pred_mean,true_mean,mean_error_pred_minus_true
2019-12-31,pass_1_trend_fourier,1285191.2481473635,510091.26503285754,1125639.867505681,1605213.5482682963,1306943.0066395374,1718322.2369394961,2883173.408,-1164851.1710605037
2019-12-31,pass_2_hybrid_lgbm,953519.5516302672,255230.01029830964,858248.6172594834,1131415.6208629564,1011110.3412046656,2065770.0833094874,2883173.408,-817403.3246905126
2019-12-31,seasonal_naive_365,752947.0323013697,796715.0476666667,856608.2241666666,901228.6394444446,640092.6722162162,3114524.497287671,2883173.408,231351.08928767132
2020-12-31,pass_1_trend_fourier,1230203.4862799216,529248.8034873835,1328159.1987240564,1844853.5556671233,1013083.4402922451,1707807.2561311598,2857643.3414520547,-1149836.085320895
2020-12-31,pass_2_hybrid_lgbm,768298.8581767614,266177.088850769,828700.0114251646,939759.8031934593,746721.0140328304,2277356.3956836117,2857643.3414520547,-580286.9457684429
2020-12-31,seasonal_naive_365,710078.1359452055,354943.3886666667,661452.8958333333,851253.8946666666,714757.8037297297,2883946.1394794523,2857643.3414520547,26302.798027397253
2021-06-30,pass_1_trend_fourier,1218838.9300914397,1110516.4332240638,698385.6426339167,524041.2540009057,1743210.081451552,1954841.178470893,3022762.3975616437,-1067921.2190907504
2021-06-30,pass_2_hybrid_lgbm,728059.6873167596,464266.25962336286,761479.4109405356,402236.4116392396,918506.7912321767,2683795.117718263,3022762.3975616437,-338967.2798433803
2021-06-30,seasonal_naive_365,799739.770630137,701893.4346666667,1147273.9094999998,413102.43644444447,890986.8075135136,2962529.5284109586,3022762.3975616437,-60232.86915068491
2021-12-31,pass_1_trend_fourier,1237363.220069572,710541.8573222426,1689781.996706416,1595333.7064591008,1001915.4930920139,2111365.377404138,3204791.3196986304,-1093425.9422944922
2021-12-31,pass_2_hybrid_lgbm,754796.3889753177,461643.4484200703,845298.0285888673,821547.0713810473,740509.5155879057,2653223.066124901,3204791.3196986304,-551568.2535737291
2021-12-31,seasonal_naive_365,837704.0917808219,593962.5449999999,987398.6431666667,917943.3864444444,789644.8312432434,2857643.3414520547,3204791.3196986304,-347147.9782465754
