actual_bin,n_days,mae,bias,underpredict_rate,mean_actual,mean_pred,stage,fold
"(1837239.966, 2471233.818]",109,1523395.2270733458,1521671.9527959577,0.009174311926605505,2140272.4405504586,3661944.3933464168,tune,2018-06-30
"(2471233.818, 3414272.032]",110,1641457.7372323642,1617040.266167522,0.02727272727272727,2956454.1595454547,4573494.425712977,tune,2018-06-30
"(3414272.032, 4736402.068]",109,2088610.4688492343,1905171.1354423761,0.1743119266055046,4019376.5867889905,5924547.722231368,tune,2018-06-30
"(4736402.068, 13786351.91]",110,2392435.1155264224,1244683.4524431573,0.33636363636363636,6396529.267272727,7641212.719715885,tune,2018-06-30
"(584316.2089999999, 1837239.966]",110,1511527.293951764,1504910.3941619522,0.01818181818181818,1435164.4135454546,2940074.8077074066,tune,2018-06-30
"(1507165.234, 2056064.732]",109,792139.0688039946,731396.5673953904,0.14678899082568808,1795871.625321101,2527268.1927164914,tune,2019-06-30
"(2056064.732, 2801087.42]",110,841418.8674434139,772071.2729006701,0.14545454545454545,2414789.7027272726,3186860.975627943,tune,2019-06-30
"(2801087.42, 3774700.12]",109,958594.6937310538,817800.2030079004,0.21100917431192662,3219067.084954128,4036867.2879620288,tune,2019-06-30
"(306693.869, 1507165.234]",110,779313.6738747667,772045.7764278136,0.03636363636363636,1137842.801,1909888.5774278138,tune,2019-06-30
"(3774700.12, 10020939.03]",110,1166997.003649004,326600.4308102719,0.37272727272727274,5015710.375090909,5342310.805901181,tune,2019-06-30
"(1498622.758, 2023147.808]",109,443388.8010684224,-375067.32156254025,0.8532110091743119,1772349.004587156,1397281.683024616,tune,2020-06-30
"(2023147.808, 2673981.846]",110,639655.9307931013,-603047.2237927625,0.9272727272727272,2349789.652727273,1746742.42893451,tune,2020-06-30
"(2673981.846, 3788877.312]",109,1024285.7670957878,-1005080.3911225585,0.944954128440367,3196353.803669725,2191273.412547166,tune,2020-06-30
"(370653.229, 1498622.758]",110,228599.60822438358,-83164.0237176259,0.6363636363636364,1125378.9694545455,1042214.9457369196,tune,2020-06-30
"(3788877.312, 10795905.35]",110,2246019.527709713,-2244155.433767215,0.990909090909091,5138934.917181818,2894779.4834146034,tune,2020-06-30
"(1625995.22, 2146176.462]",109,547693.190392576,221540.25195074847,0.45871559633027525,1877191.8877981652,2098732.1397489137,tune,2021-06-30
"(2146176.462, 2964953.604]",110,511755.2328372225,76329.09275237934,0.45454545454545453,2498999.3151818183,2575328.4079341977,tune,2021-06-30
"(2964953.604, 4106220.8]",109,711848.2817382577,-206837.64883651264,0.6880733944954128,3430055.2712844037,3223217.622447891,tune,2021-06-30
"(4106220.8, 11643208.73]",110,1014977.682269655,-779137.7801982331,0.7727272727272727,5327790.8288181815,4548653.048619948,tune,2021-06-30
"(545563.7189999999, 1625995.22]",110,400973.7823284288,271801.02414452453,0.3,1261698.7216363635,1533499.7457808882,tune,2021-06-30
"(1625995.22, 2146176.462]",109,547693.190392576,221540.25195074847,0.45871559633027525,1877191.8877981652,2098732.1397489137,holdout,2021-06-30
"(2146176.462, 2964953.604]",110,511755.2328372225,76329.09275237934,0.45454545454545453,2498999.3151818183,2575328.4079341977,holdout,2021-06-30
"(2964953.604, 4106220.8]",109,711848.2817382577,-206837.64883651264,0.6880733944954128,3430055.2712844037,3223217.622447891,holdout,2021-06-30
"(4106220.8, 11643208.73]",110,1014977.682269655,-779137.7801982331,0.7727272727272727,5327790.8288181815,4548653.048619948,holdout,2021-06-30
"(545563.7189999999, 1625995.22]",110,400973.7823284288,271801.02414452453,0.3,1261698.7216363635,1533499.7457808882,holdout,2021-06-30
